"Step","TD3 high lr, shooting pre - avg_reward per ep","TD3 high lr, shooting pre - avg_reward per ep__MIN","TD3 high lr, shooting pre - avg_reward per ep__MAX","TD3 high lr - avg_reward per ep","TD3 high lr - avg_reward per ep__MIN","TD3 high lr - avg_reward per ep__MAX","TD3 high lr, shooting - avg_reward per ep","TD3 high lr, shooting - avg_reward per ep__MIN","TD3 high lr, shooting - avg_reward per ep__MAX","TD3 high lr, 4 rewards, shooting - avg_reward per ep","TD3 high lr, 4 rewards, shooting - avg_reward per ep__MIN","TD3 high lr, 4 rewards, shooting - avg_reward per ep__MAX","TD3 retrained def ->shooting 4 rewards - avg_reward per ep","TD3 retrained def ->shooting 4 rewards - avg_reward per ep__MIN","TD3 retrained def ->shooting 4 rewards - avg_reward per ep__MAX","TD3 pretrained def -> shooting - avg_reward per ep","TD3 pretrained def -> shooting - avg_reward per ep__MIN","TD3 pretrained def -> shooting - avg_reward per ep__MAX","TD3 defense - avg_reward per ep","TD3 defense - avg_reward per ep__MIN","TD3 defense - avg_reward per ep__MAX","TD3 big buffer continue - avg_reward per ep","TD3 big buffer continue - avg_reward per ep__MIN","TD3 big buffer continue - avg_reward per ep__MAX","TD3 big buffer 2nd try - avg_reward per ep","TD3 big buffer 2nd try - avg_reward per ep__MIN","TD3 big buffer 2nd try - avg_reward per ep__MAX","TD3 32 grad every epoch - avg_reward per ep","TD3 32 grad every epoch - avg_reward per ep__MIN","TD3 32 grad every epoch - avg_reward per ep__MAX"
"0","-6.416542876949208","-6.416542876949208","-6.416542876949208","-13.925300965716069","-13.925300965716069","-13.925300965716069","-5.532348062349465","-5.532348062349465","-5.532348062349465","-2.5704843786451526","-2.5704843786451526","-2.5704843786451526","-26.3402785611667","-26.3402785611667","-26.3402785611667","-22.505902907320777","-22.505902907320777","-22.505902907320777","-6.292502755098233","-6.292502755098233","-6.292502755098233","-14.768598682900219","-14.768598682900219","-14.768598682900219","-17.45220886093305","-17.45220886093305","-17.45220886093305","-9.292717531807721","-9.292717531807721","-9.292717531807721"
"1","-6.799643233080256","-6.799643233080256","-6.799643233080256","-17.84777900374669","-17.84777900374669","-17.84777900374669","0.6343636046015486","0.6343636046015486","0.6343636046015486","-13.973242242065226","-13.973242242065226","-13.973242242065226","-21.117212112371906","-21.117212112371906","-21.117212112371906","-26.320969609219585","-26.320969609219585","-26.320969609219585","-4.000723353209894","-4.000723353209894","-4.000723353209894","-13.28006427141383","-13.28006427141383","-13.28006427141383","-21.797209375621243","-21.797209375621243","-21.797209375621243","-11.986710019776337","-11.986710019776337","-11.986710019776337"
"2","-2.250766887008639","-2.250766887008639","-2.250766887008639","-20.445760002525937","-20.445760002525937","-20.445760002525937","1.348585770862088","1.348585770862088","1.348585770862088","-17.187406171011858","-17.187406171011858","-17.187406171011858","-24.803981089272032","-24.803981089272032","-24.803981089272032","-27.302492896664386","-27.302492896664386","-27.302492896664386","-3.3005325755282073","-3.3005325755282073","-3.3005325755282073","-13.650401404912843","-13.650401404912843","-13.650401404912843","-22.108623444737876","-22.108623444737876","-22.108623444737876","-16.780874998468768","-16.780874998468768","-16.780874998468768"
"3","-4.435110041587217","-4.435110041587217","-4.435110041587217","-20.801660889159898","-20.801660889159898","-20.801660889159898","1.8760642440652413","1.8760642440652413","1.8760642440652413","-28.60255040356787","-28.60255040356787","-28.60255040356787","-27.00514697060552","-27.00514697060552","-27.00514697060552","-25.741563045900666","-25.741563045900666","-25.741563045900666","-3.0330069735013385","-3.0330069735013385","-3.0330069735013385","-14.339523715931769","-14.339523715931769","-14.339523715931769","-24.207329758723994","-24.207329758723994","-24.207329758723994","-9.10954383362049","-9.10954383362049","-9.10954383362049"
"4","-4.1456629843667505","-4.1456629843667505","-4.1456629843667505","-20.952899102591005","-20.952899102591005","-20.952899102591005","2.3028208117776665","2.3028208117776665","2.3028208117776665","-27.506851756538925","-27.506851756538925","-27.506851756538925","-26.138586007049387","-26.138586007049387","-26.138586007049387","-27.423772624986107","-27.423772624986107","-27.423772624986107","-3.439366388763413","-3.439366388763413","-3.439366388763413","-17.682003907225923","-17.682003907225923","-17.682003907225923","-21.977847320511113","-21.977847320511113","-21.977847320511113","-10.584650545110938","-10.584650545110938","-10.584650545110938"
"5","-2.6659596646607833","-2.6659596646607833","-2.6659596646607833","-20.05180569911","-20.05180569911","-20.05180569911","3.755347430468734","3.755347430468734","3.755347430468734","-16.092191484463743","-16.092191484463743","-16.092191484463743","-26.948436456978918","-26.948436456978918","-26.948436456978918","-26.3863630739044","-26.3863630739044","-26.3863630739044","-2.422213110601473","-2.422213110601473","-2.422213110601473","-15.326876695200896","-15.326876695200896","-15.326876695200896","-20.897691778297425","-20.897691778297425","-20.897691778297425","-12.84204108698293","-12.84204108698293","-12.84204108698293"
"6","-3.8796724827639766","-3.8796724827639766","-3.8796724827639766","-19.139505723851688","-19.139505723851688","-19.139505723851688","3.2724939912337065","3.2724939912337065","3.2724939912337065","-31.031612503423947","-31.031612503423947","-31.031612503423947","-28.62364116103954","-28.62364116103954","-28.62364116103954","-27.422629349137022","-27.422629349137022","-27.422629349137022","-2.7233790419427786","-2.7233790419427786","-2.7233790419427786","-17.39044485042218","-17.39044485042218","-17.39044485042218","-21.68370524987366","-21.68370524987366","-21.68370524987366","-23.497259716615197","-23.497259716615197","-23.497259716615197"
"7","-2.051566483534587","-2.051566483534587","-2.051566483534587","-27.134458447898542","-27.134458447898542","-27.134458447898542","3.695953606570573","3.695953606570573","3.695953606570573","-26.22688590173761","-26.22688590173761","-26.22688590173761","-29.57740074542922","-29.57740074542922","-29.57740074542922","-27.814120045457088","-27.814120045457088","-27.814120045457088","-2.82890648913869","-2.82890648913869","-2.82890648913869","-15.934969558509335","-15.934969558509335","-15.934969558509335","-23.290753881975615","-23.290753881975615","-23.290753881975615","-22.329612362650575","-22.329612362650575","-22.329612362650575"
"8","-2.434488794117359","-2.434488794117359","-2.434488794117359","-18.640833338792955","-18.640833338792955","-18.640833338792955","2.5368096853711593","2.5368096853711593","2.5368096853711593","-25.577246623430618","-25.577246623430618","-25.577246623430618","-28.47367374730033","-28.47367374730033","-28.47367374730033","-27.008679521607345","-27.008679521607345","-27.008679521607345","-3.2236597559516698","-3.2236597559516698","-3.2236597559516698","-15.98787965866307","-15.98787965866307","-15.98787965866307","-23.21359285724067","-23.21359285724067","-23.21359285724067","-20.917680997037714","-20.917680997037714","-20.917680997037714"
"9","-1.4749145343310943","-1.4749145343310943","-1.4749145343310943","-18.602863353478693","-18.602863353478693","-18.602863353478693","-0.8810838966116245","-0.8810838966116245","-0.8810838966116245","-21.151210024994313","-21.151210024994313","-21.151210024994313","-25.292702517991643","-25.292702517991643","-25.292702517991643","-26.225878226679196","-26.225878226679196","-26.225878226679196","-2.7744227274543762","-2.7744227274543762","-2.7744227274543762","-16.758470932305794","-16.758470932305794","-16.758470932305794","-20.975536661900627","-20.975536661900627","-20.975536661900627","-19.97250361445659","-19.97250361445659","-19.97250361445659"
"10","-2.010348272691971","-2.010348272691971","-2.010348272691971","-19.43978797788776","-19.43978797788776","-19.43978797788776","3.6234431772364233","3.6234431772364233","3.6234431772364233","-24.7012084836378","-24.7012084836378","-24.7012084836378","-27.518616521666385","-27.518616521666385","-27.518616521666385","-29.79676122956943","-29.79676122956943","-29.79676122956943","","","","-17.550430624574677","-17.550430624574677","-17.550430624574677","-20.01870339187831","-20.01870339187831","-20.01870339187831","-18.900265017190044","-18.900265017190044","-18.900265017190044"
"11","-2.1566802656343445","-2.1566802656343445","-2.1566802656343445","-13.05686749145107","-13.05686749145107","-13.05686749145107","3.626272984437009","3.626272984437009","3.626272984437009","-9.82150907255965","-9.82150907255965","-9.82150907255965","-28.09304714714291","-28.09304714714291","-28.09304714714291","-28.12326522772401","-28.12326522772401","-28.12326522772401","","","","-17.868220780536017","-17.868220780536017","-17.868220780536017","-23.8357000636865","-23.8357000636865","-23.8357000636865","-19.5427278402562","-19.5427278402562","-19.5427278402562"
"12","-1.3524697146772064","-1.3524697146772064","-1.3524697146772064","-15.826210037763772","-15.826210037763772","-15.826210037763772","0.0035826289249033605","0.0035826289249033605","0.0035826289249033605","-7.098192130505111","-7.098192130505111","-7.098192130505111","-23.89641007072678","-23.89641007072678","-23.89641007072678","-27.66455811757563","-27.66455811757563","-27.66455811757563","","","","-16.727630846266184","-16.727630846266184","-16.727630846266184","-20.173195908645553","-20.173195908645553","-20.173195908645553","-16.609385982957754","-16.609385982957754","-16.609385982957754"
"13","-0.34640138054040676","-0.34640138054040676","-0.34640138054040676","-14.929824448906933","-14.929824448906933","-14.929824448906933","-10.595623860484244","-10.595623860484244","-10.595623860484244","-10.30382062862591","-10.30382062862591","-10.30382062862591","-24.966119819654118","-24.966119819654118","-24.966119819654118","-28.315827121234463","-28.315827121234463","-28.315827121234463","","","","-19.04101688650152","-19.04101688650152","-19.04101688650152","-19.211432117019584","-19.211432117019584","-19.211432117019584","-15.405452768103569","-15.405452768103569","-15.405452768103569"
"14","0.34135895925344417","0.34135895925344417","0.34135895925344417","-21.398627707627558","-21.398627707627558","-21.398627707627558","-14.227170399530356","-14.227170399530356","-14.227170399530356","-15.23237725075481","-15.23237725075481","-15.23237725075481","-27.825404975059634","-27.825404975059634","-27.825404975059634","-26.787014299339457","-26.787014299339457","-26.787014299339457","","","","-16.974284704724354","-16.974284704724354","-16.974284704724354","-18.81945410837107","-18.81945410837107","-18.81945410837107","-18.584529208101724","-18.584529208101724","-18.584529208101724"
"15","0.8490043367368559","0.8490043367368559","0.8490043367368559","-14.68996559399247","-14.68996559399247","-14.68996559399247","-12.905619384807395","-12.905619384807395","-12.905619384807395","-22.53061552180955","-22.53061552180955","-22.53061552180955","-28.525075390896202","-28.525075390896202","-28.525075390896202","-27.425969485816843","-27.425969485816843","-27.425969485816843","","","","-15.489630499664699","-15.489630499664699","-15.489630499664699","-19.67712192571049","-19.67712192571049","-19.67712192571049","-18.636262734562777","-18.636262734562777","-18.636262734562777"
"16","1.3814961158842258","1.3814961158842258","1.3814961158842258","-15.60325127954624","-15.60325127954624","-15.60325127954624","-12.806533504457686","-12.806533504457686","-12.806533504457686","-23.704967107466846","-23.704967107466846","-23.704967107466846","-29.58949112734125","-29.58949112734125","-29.58949112734125","-28.19833331275249","-28.19833331275249","-28.19833331275249","","","","-16.30202786551002","-16.30202786551002","-16.30202786551002","-20.31481623081999","-20.31481623081999","-20.31481623081999","-18.41039464095194","-18.41039464095194","-18.41039464095194"
"17","1.574347963287727","1.574347963287727","1.574347963287727","-15.187939519111946","-15.187939519111946","-15.187939519111946","-11.285684163753347","-11.285684163753347","-11.285684163753347","-24.463779886982675","-24.463779886982675","-24.463779886982675","-24.92402789459505","-24.92402789459505","-24.92402789459505","-27.663278337887625","-27.663278337887625","-27.663278337887625","","","","-15.596320135055944","-15.596320135055944","-15.596320135055944","-18.538580160989877","-18.538580160989877","-18.538580160989877","-18.435717785039294","-18.435717785039294","-18.435717785039294"
"18","-0.3783836565844531","-0.3783836565844531","-0.3783836565844531","-16.273911881645294","-16.273911881645294","-16.273911881645294","-13.929927760750143","-13.929927760750143","-13.929927760750143","-20.84936445172741","-20.84936445172741","-20.84936445172741","-28.035531742429665","-28.035531742429665","-28.035531742429665","-28.460149714314543","-28.460149714314543","-28.460149714314543","","","","-14.980833015768399","-14.980833015768399","-14.980833015768399","-19.246840074357213","-19.246840074357213","-19.246840074357213","-17.200706455662125","-17.200706455662125","-17.200706455662125"
"19","0.4350998313580787","0.4350998313580787","0.4350998313580787","-15.488381492597583","-15.488381492597583","-15.488381492597583","-18.131152867017672","-18.131152867017672","-18.131152867017672","-23.39133851229033","-23.39133851229033","-23.39133851229033","-27.665602501088166","-27.665602501088166","-27.665602501088166","-27.2651997946923","-27.2651997946923","-27.2651997946923","","","","-16.694816017363713","-16.694816017363713","-16.694816017363713","-18.450854062456397","-18.450854062456397","-18.450854062456397","-16.64390691331139","-16.64390691331139","-16.64390691331139"
"20","1.3346809751014466","1.3346809751014466","1.3346809751014466","-16.560425292220422","-16.560425292220422","-16.560425292220422","-15.07617624868851","-15.07617624868851","-15.07617624868851","-24.45854090917705","-24.45854090917705","-24.45854090917705","","","","","","","","","","-14.645886892039544","-14.645886892039544","-14.645886892039544","-18.280400019493367","-18.280400019493367","-18.280400019493367","-14.383741475071144","-14.383741475071144","-14.383741475071144"
"21","0.5769652373892038","0.5769652373892038","0.5769652373892038","-15.162274799274543","-15.162274799274543","-15.162274799274543","-7.7924041715135015","-7.7924041715135015","-7.7924041715135015","-22.432944433932914","-22.432944433932914","-22.432944433932914","","","","","","","","","","-16.450560709809583","-16.450560709809583","-16.450560709809583","-17.40124948415839","-17.40124948415839","-17.40124948415839","-13.020336533067894","-13.020336533067894","-13.020336533067894"
"22","0.1342858444133549","0.1342858444133549","0.1342858444133549","-14.835169954945284","-14.835169954945284","-14.835169954945284","-6.9579597788064715","-6.9579597788064715","-6.9579597788064715","-23.847053256136594","-23.847053256136594","-23.847053256136594","","","","","","","","","","-15.891950818611658","-15.891950818611658","-15.891950818611658","-17.544394530518822","-17.544394530518822","-17.544394530518822","-13.82880135682399","-13.82880135682399","-13.82880135682399"
"23","0.2902143564447698","0.2902143564447698","0.2902143564447698","-16.0875818034954","-16.0875818034954","-16.0875818034954","-7.665729520795542","-7.665729520795542","-7.665729520795542","-34.351266414969636","-34.351266414969636","-34.351266414969636","","","","","","","","","","-15.202543826784028","-15.202543826784028","-15.202543826784028","-16.358527602914222","-16.358527602914222","-16.358527602914222","-15.876671481550307","-15.876671481550307","-15.876671481550307"
"24","0.7538054679420035","0.7538054679420035","0.7538054679420035","-16.468732875424354","-16.468732875424354","-16.468732875424354","-5.742944153084513","-5.742944153084513","-5.742944153084513","-26.088156725645675","-26.088156725645675","-26.088156725645675","","","","","","","","","","-17.90367394108497","-17.90367394108497","-17.90367394108497","-16.370605316766078","-16.370605316766078","-16.370605316766078","-15.818302334694755","-15.818302334694755","-15.818302334694755"
"25","0.2565083369638496","0.2565083369638496","0.2565083369638496","-16.319930650386166","-16.319930650386166","-16.319930650386166","-8.574898373508512","-8.574898373508512","-8.574898373508512","-32.088245537220104","-32.088245537220104","-32.088245537220104","","","","","","","","","","-14.11823778113966","-14.11823778113966","-14.11823778113966","-15.64065727428588","-15.64065727428588","-15.64065727428588","-16.344288063665648","-16.344288063665648","-16.344288063665648"
"26","0.5791884608653174","0.5791884608653174","0.5791884608653174","-16.91401682244504","-16.91401682244504","-16.91401682244504","-7.525259926076202","-7.525259926076202","-7.525259926076202","-33.716043128004095","-33.716043128004095","-33.716043128004095","","","","","","","","","","-16.982258205245497","-16.982258205245497","-16.982258205245497","-15.011508005909429","-15.011508005909429","-15.011508005909429","-18.232496547663324","-18.232496547663324","-18.232496547663324"
"27","1.0531467079381873","1.0531467079381873","1.0531467079381873","-16.11192442676998","-16.11192442676998","-16.11192442676998","-10.190652597114044","-10.190652597114044","-10.190652597114044","-30.849962703425017","-30.849962703425017","-30.849962703425017","","","","","","","","","","-13.894802039928614","-13.894802039928614","-13.894802039928614","-14.210655680441105","-14.210655680441105","-14.210655680441105","-18.84676858031268","-18.84676858031268","-18.84676858031268"
"28","-0.021942028902542914","-0.021942028902542914","-0.021942028902542914","-13.407337440255104","-13.407337440255104","-13.407337440255104","-11.253572800619665","-11.253572800619665","-11.253572800619665","-30.37197662755852","-30.37197662755852","-30.37197662755852","","","","","","","","","","-20.276072224160423","-20.276072224160423","-20.276072224160423","-14.00661415301785","-14.00661415301785","-14.00661415301785","-13.302509976440199","-13.302509976440199","-13.302509976440199"
"29","-0.9341760231055042","-0.9341760231055042","-0.9341760231055042","-15.588950680601295","-15.588950680601295","-15.588950680601295","-11.88888970077162","-11.88888970077162","-11.88888970077162","-29.051824434453035","-29.051824434453035","-29.051824434453035","","","","","","","","","","-18.247560997428234","-18.247560997428234","-18.247560997428234","-12.968041721352334","-12.968041721352334","-12.968041721352334","-13.349247493815714","-13.349247493815714","-13.349247493815714"
"30","0.24958423810114724","0.24958423810114724","0.24958423810114724","-16.135056488273626","-16.135056488273626","-16.135056488273626","-12.517266213311167","-12.517266213311167","-12.517266213311167","-32.92033436018997","-32.92033436018997","-32.92033436018997","","","","","","","","","","-15.186237416495032","-15.186237416495032","-15.186237416495032","-13.150464752583268","-13.150464752583268","-13.150464752583268","-14.783094397596273","-14.783094397596273","-14.783094397596273"
"31","1.2683222539253434","1.2683222539253434","1.2683222539253434","-15.806603461137541","-15.806603461137541","-15.806603461137541","-15.766887790849847","-15.766887790849847","-15.766887790849847","-29.66967104572261","-29.66967104572261","-29.66967104572261","","","","","","","","","","-14.91684284625717","-14.91684284625717","-14.91684284625717","-13.3964161633399","-13.3964161633399","-13.3964161633399","-15.282490850890706","-15.282490850890706","-15.282490850890706"
"32","2.9448624536672052","2.9448624536672052","2.9448624536672052","-13.731293788408609","-13.731293788408609","-13.731293788408609","-17.029684043462773","-17.029684043462773","-17.029684043462773","-30.748049766808233","-30.748049766808233","-30.748049766808233","","","","","","","","","","-18.40604454584924","-18.40604454584924","-18.40604454584924","-14.958259960871635","-14.958259960871635","-14.958259960871635","-14.086432129949012","-14.086432129949012","-14.086432129949012"
"33","3.1595747878455014","3.1595747878455014","3.1595747878455014","-14.428117004142528","-14.428117004142528","-14.428117004142528","-15.92562289457355","-15.92562289457355","-15.92562289457355","-25.101185962608014","-25.101185962608014","-25.101185962608014","","","","","","","","","","-16.73136286155362","-16.73136286155362","-16.73136286155362","-14.246876251300028","-14.246876251300028","-14.246876251300028","-11.555965583342047","-11.555965583342047","-11.555965583342047"
"34","4.844016145205411","4.844016145205411","4.844016145205411","-16.319550738882757","-16.319550738882757","-16.319550738882757","-16.46140918655599","-16.46140918655599","-16.46140918655599","-20.748074559411283","-20.748074559411283","-20.748074559411283","","","","","","","","","","-16.086247410244862","-16.086247410244862","-16.086247410244862","-11.733328697393958","-11.733328697393958","-11.733328697393958","-8.689135504017944","-8.689135504017944","-8.689135504017944"
"35","4.121070601826807","4.121070601826807","4.121070601826807","-16.206280265438846","-16.206280265438846","-16.206280265438846","-16.09556621556724","-16.09556621556724","-16.09556621556724","-31.00733278160435","-31.00733278160435","-31.00733278160435","","","","","","","","","","-16.308437534070656","-16.308437534070656","-16.308437534070656","-10.463941403403995","-10.463941403403995","-10.463941403403995","-10.895732787717192","-10.895732787717192","-10.895732787717192"
"36","4.033069665153973","4.033069665153973","4.033069665153973","-16.250563764122553","-16.250563764122553","-16.250563764122553","-16.666983237426624","-16.666983237426624","-16.666983237426624","-39.78220200441249","-39.78220200441249","-39.78220200441249","","","","","","","","","","-18.111593840181957","-18.111593840181957","-18.111593840181957","-11.39064188769624","-11.39064188769624","-11.39064188769624","-11.315283853713773","-11.315283853713773","-11.315283853713773"
"37","3.6352273781276963","3.6352273781276963","3.6352273781276963","-15.823504239692149","-15.823504239692149","-15.823504239692149","-17.963581971939174","-17.963581971939174","-17.963581971939174","-34.01990767410453","-34.01990767410453","-34.01990767410453","","","","","","","","","","-19.00846360348475","-19.00846360348475","-19.00846360348475","-10.717661920532736","-10.717661920532736","-10.717661920532736","-12.417041711776422","-12.417041711776422","-12.417041711776422"
"38","2.914383008113093","2.914383008113093","2.914383008113093","-17.787317769233574","-17.787317769233574","-17.787317769233574","-24.29846096516229","-24.29846096516229","-24.29846096516229","-30.52169700131034","-30.52169700131034","-30.52169700131034","","","","","","","","","","-15.38029684441701","-15.38029684441701","-15.38029684441701","-8.103786686356312","-8.103786686356312","-8.103786686356312","-13.601321958821114","-13.601321958821114","-13.601321958821114"
"39","1.012291270678556","1.012291270678556","1.012291270678556","-15.716199395462597","-15.716199395462597","-15.716199395462597","-23.897919945100963","-23.897919945100963","-23.897919945100963","-23.554053378220637","-23.554053378220637","-23.554053378220637","","","","","","","","","","-17.60864050463286","-17.60864050463286","-17.60864050463286","-9.76234498750287","-9.76234498750287","-9.76234498750287","-10.706593707051102","-10.706593707051102","-10.706593707051102"
"40","2.234137488290109","2.234137488290109","2.234137488290109","","","","","","","","","","","","","","","","","","","-19.586925682370776","-19.586925682370776","-19.586925682370776","-9.252387256889326","-9.252387256889326","-9.252387256889326","-12.648242220757766","-12.648242220757766","-12.648242220757766"
"41","1.9097027399037079","1.9097027399037079","1.9097027399037079","","","","","","","","","","","","","","","","","","","-18.312016816805407","-18.312016816805407","-18.312016816805407","-11.068503345538506","-11.068503345538506","-11.068503345538506","-8.883374393840727","-8.883374393840727","-8.883374393840727"
"42","0.30188115412367644","0.30188115412367644","0.30188115412367644","","","","","","","","","","","","","","","","","","","-13.319317441074674","-13.319317441074674","-13.319317441074674","-8.141773339513795","-8.141773339513795","-8.141773339513795","-9.34248972943565","-9.34248972943565","-9.34248972943565"
"43","-0.6123793878795948","-0.6123793878795948","-0.6123793878795948","","","","","","","","","","","","","","","","","","","-21.84019171525807","-21.84019171525807","-21.84019171525807","-8.551798448515449","-8.551798448515449","-8.551798448515449","-9.584350910310599","-9.584350910310599","-9.584350910310599"
"44","-0.8679986460204987","-0.8679986460204987","-0.8679986460204987","","","","","","","","","","","","","","","","","","","-19.514706143702185","-19.514706143702185","-19.514706143702185","-8.605491009113","-8.605491009113","-8.605491009113","-8.880425099843073","-8.880425099843073","-8.880425099843073"
"45","","","","","","","","","","","","","","","","","","","","","","-19.618818421053643","-19.618818421053643","-19.618818421053643","-8.388321771394894","-8.388321771394894","-8.388321771394894","-10.834569206585773","-10.834569206585773","-10.834569206585773"
"46","","","","","","","","","","","","","","","","","","","","","","-19.616090521076973","-19.616090521076973","-19.616090521076973","-7.953748165517494","-7.953748165517494","-7.953748165517494","-10.12254360140883","-10.12254360140883","-10.12254360140883"
"47","","","","","","","","","","","","","","","","","","","","","","-18.795931419263415","-18.795931419263415","-18.795931419263415","-7.272080401673164","-7.272080401673164","-7.272080401673164","-7.803290258645442","-7.803290258645442","-7.803290258645442"
"48","","","","","","","","","","","","","","","","","","","","","","-14.836083845534844","-14.836083845534844","-14.836083845534844","-9.97287209189003","-9.97287209189003","-9.97287209189003","-8.982106490122773","-8.982106490122773","-8.982106490122773"
"49","","","","","","","","","","","","","","","","","","","","","","-18.457824833060048","-18.457824833060048","-18.457824833060048","-6.913574998709901","-6.913574998709901","-6.913574998709901","-8.0637646112858","-8.0637646112858","-8.0637646112858"
"50","","","","","","","","","","","","","","","","","","","","","","","","","-8.199512471552216","-8.199512471552216","-8.199512471552216","-7.6243293205275195","-7.6243293205275195","-7.6243293205275195"
"51","","","","","","","","","","","","","","","","","","","","","","","","","-8.349499591789895","-8.349499591789895","-8.349499591789895","-7.6386499897703795","-7.6386499897703795","-7.6386499897703795"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.353676602962786","-8.353676602962786","-8.353676602962786"
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.634396209536414","-8.634396209536414","-8.634396209536414"
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.38176811591041","-8.38176811591041","-8.38176811591041"
