"Step","TD3 high lr, shooting pre - avg_touched_pucks | puck starts in our half","TD3 high lr, shooting pre - avg_touched_pucks | puck starts in our half__MIN","TD3 high lr, shooting pre - avg_touched_pucks | puck starts in our half__MAX","TD3 high lr - avg_touched_pucks | puck starts in our half","TD3 high lr - avg_touched_pucks | puck starts in our half__MIN","TD3 high lr - avg_touched_pucks | puck starts in our half__MAX","TD3 high lr, shooting - avg_touched_pucks | puck starts in our half","TD3 high lr, shooting - avg_touched_pucks | puck starts in our half__MIN","TD3 high lr, shooting - avg_touched_pucks | puck starts in our half__MAX","TD3 high lr, 4 rewards, shooting - avg_touched_pucks | puck starts in our half","TD3 high lr, 4 rewards, shooting - avg_touched_pucks | puck starts in our half__MIN","TD3 high lr, 4 rewards, shooting - avg_touched_pucks | puck starts in our half__MAX","TD3 retrained def ->shooting 4 rewards - avg_touched_pucks | puck starts in our half","TD3 retrained def ->shooting 4 rewards - avg_touched_pucks | puck starts in our half__MIN","TD3 retrained def ->shooting 4 rewards - avg_touched_pucks | puck starts in our half__MAX","TD3 pretrained def -> shooting - avg_touched_pucks | puck starts in our half","TD3 pretrained def -> shooting - avg_touched_pucks | puck starts in our half__MIN","TD3 pretrained def -> shooting - avg_touched_pucks | puck starts in our half__MAX","TD3 defense - avg_touched_pucks | puck starts in our half","TD3 defense - avg_touched_pucks | puck starts in our half__MIN","TD3 defense - avg_touched_pucks | puck starts in our half__MAX","TD3 big buffer continue - avg_touched_pucks | puck starts in our half","TD3 big buffer continue - avg_touched_pucks | puck starts in our half__MIN","TD3 big buffer continue - avg_touched_pucks | puck starts in our half__MAX","TD3 big buffer 2nd try - avg_touched_pucks | puck starts in our half","TD3 big buffer 2nd try - avg_touched_pucks | puck starts in our half__MIN","TD3 big buffer 2nd try - avg_touched_pucks | puck starts in our half__MAX","TD3 32 grad every epoch - avg_touched_pucks | puck starts in our half","TD3 32 grad every epoch - avg_touched_pucks | puck starts in our half__MIN","TD3 32 grad every epoch - avg_touched_pucks | puck starts in our half__MAX"
"0","0.47","0.47","0.47","0.25","0.25","0.25","0.866","0.866","0.866","0.92","0.92","0.92","0.074","0.074","0.074","0.164","0.164","0.164","0","0","0","0.096","0.096","0.096","0.046","0.046","0.046","0.472","0.472","0.472"
"1","0.328","0.328","0.328","0.244","0.244","0.244","0.9","0.9","0.9","0.48","0.48","0.48","0.224","0.224","0.224","0.028","0.028","0.028","0","0","0","0.148","0.148","0.148","0.03","0.03","0.03","0.334","0.334","0.334"
"2","0.488","0.488","0.488","0.012","0.012","0.012","0.942","0.942","0.942","0.35","0.35","0.35","0.082","0.082","0.082","0.004","0.004","0.004","0","0","0","0.094","0.094","0.094","0.014","0.014","0.014","0.096","0.096","0.096"
"3","0.47","0.47","0.47","0.028","0.028","0.028","0.95","0.95","0.95","0.01","0.01","0.01","0.006","0.006","0.006","0","0","0","0","0","0","0.05","0.05","0.05","0.006","0.006","0.006","0.486","0.486","0.486"
"4","0.498","0.498","0.498","0.016","0.016","0.016","0.98","0.98","0.98","0.002","0.002","0.002","0.032","0.032","0.032","0.004","0.004","0.004","0","0","0","0.048","0.048","0.048","0.008","0.008","0.008","0.386","0.386","0.386"
"5","0.5","0.5","0.5","0.03","0.03","0.03","0.99","0.99","0.99","0.384","0.384","0.384","0.004","0.004","0.004","0.008","0.008","0.008","0","0","0","0.108","0.108","0.108","0.008","0.008","0.008","0.276","0.276","0.276"
"6","0.488","0.488","0.488","0.044","0.044","0.044","0.97","0.97","0.97","0.036","0.036","0.036","0.004","0.004","0.004","0","0","0","0","0","0","0.046","0.046","0.046","0.018","0.018","0.018","0.056","0.056","0.056"
"7","0.5","0.5","0.5","0.018","0.018","0.018","0.966","0.966","0.966","0.034","0.034","0.034","0.002","0.002","0.002","0","0","0","0","0","0","0.03","0.03","0.03","0.014","0.014","0.014","0.052","0.052","0.052"
"8","0.498","0.498","0.498","0.026","0.026","0.026","0.956","0.956","0.956","0.004","0.004","0.004","0","0","0","0","0","0","0","0","0","0.076","0.076","0.076","0.016","0.016","0.016","0.04","0.04","0.04"
"9","0.498","0.498","0.498","0.028","0.028","0.028","0.886","0.886","0.886","0.012","0.012","0.012","0.006","0.006","0.006","0","0","0","0","0","0","0.066","0.066","0.066","0.026","0.026","0.026","0.028","0.028","0.028"
"10","0.5","0.5","0.5","0.012","0.012","0.012","0.898","0.898","0.898","0.004","0.004","0.004","0","0","0","0","0","0","","","","0.056","0.056","0.056","0.016","0.016","0.016","0.048","0.048","0.048"
"11","0.498","0.498","0.498","0.1","0.1","0.1","0.914","0.914","0.914","0.316","0.316","0.316","0.01","0.01","0.01","0","0","0","","","","0.064","0.064","0.064","0.022","0.022","0.022","0.024","0.024","0.024"
"12","0.496","0.496","0.496","0.046","0.046","0.046","0.816","0.816","0.816","0.592","0.592","0.592","0.03","0.03","0.03","0","0","0","","","","0.062","0.062","0.062","0.026","0.026","0.026","0.144","0.144","0.144"
"13","0.494","0.494","0.494","0.054","0.054","0.054","0.594","0.594","0.594","0.476","0.476","0.476","0.01","0.01","0.01","0","0","0","","","","0.028","0.028","0.028","0.036","0.036","0.036","0.164","0.164","0.164"
"14","0.498","0.498","0.498","0.046","0.046","0.046","0.466","0.466","0.466","0.348","0.348","0.348","0","0","0","0.008","0.008","0.008","","","","0.046","0.046","0.046","0.044","0.044","0.044","0.06","0.06","0.06"
"15","0.496","0.496","0.496","0.032","0.032","0.032","0.6","0.6","0.6","0.044","0.044","0.044","0.002","0.002","0.002","0","0","0","","","","0.072","0.072","0.072","0.036","0.036","0.036","0.072","0.072","0.072"
"16","0.494","0.494","0.494","0.05","0.05","0.05","0.744","0.744","0.744","0.002","0.002","0.002","0.002","0.002","0.002","0","0","0","","","","0.094","0.094","0.094","0.04","0.04","0.04","0.086","0.086","0.086"
"17","0.498","0.498","0.498","0.054","0.054","0.054","0.792","0.792","0.792","0","0","0","0","0","0","0","0","0","","","","0.058","0.058","0.058","0.038","0.038","0.038","0.054","0.054","0.054"
"18","0.488","0.488","0.488","0.024","0.024","0.024","0.656","0.656","0.656","0.002","0.002","0.002","0","0","0","0","0","0","","","","0.098","0.098","0.098","0.036","0.036","0.036","0.08","0.08","0.08"
"19","0.494","0.494","0.494","0.054","0.054","0.054","0.494","0.494","0.494","0.004","0.004","0.004","0","0","0","0","0","0","","","","0.048","0.048","0.048","0.052","0.052","0.052","0.126","0.126","0.126"
"20","0.484","0.484","0.484","0.05","0.05","0.05","0.624","0.624","0.624","0","0","0","","","","","","","","","","0.056","0.056","0.056","0.022","0.022","0.022","0.152","0.152","0.152"
"21","0.486","0.486","0.486","0.064","0.064","0.064","0.77","0.77","0.77","0.102","0.102","0.102","","","","","","","","","","0.032","0.032","0.032","0.058","0.058","0.058","0.17","0.17","0.17"
"22","0.498","0.498","0.498","0.074","0.074","0.074","0.812","0.812","0.812","0.002","0.002","0.002","","","","","","","","","","0.034","0.034","0.034","0.04","0.04","0.04","0.166","0.166","0.166"
"23","0.5","0.5","0.5","0.04","0.04","0.04","0.758","0.758","0.758","0.008","0.008","0.008","","","","","","","","","","0.03","0.03","0.03","0.054","0.054","0.054","0.064","0.064","0.064"
"24","0.5","0.5","0.5","0.052","0.052","0.052","0.816","0.816","0.816","0.006","0.006","0.006","","","","","","","","","","0.036","0.036","0.036","0.054","0.054","0.054","0.088","0.088","0.088"
"25","0.5","0.5","0.5","0.062","0.062","0.062","0.722","0.722","0.722","0.004","0.004","0.004","","","","","","","","","","0.12","0.12","0.12","0.058","0.058","0.058","0.08","0.08","0.08"
"26","0.5","0.5","0.5","0.02","0.02","0.02","0.768","0.768","0.768","0","0","0","","","","","","","","","","0.048","0.048","0.048","0.104","0.104","0.104","0.044","0.044","0.044"
"27","0.5","0.5","0.5","0.022","0.022","0.022","0.7","0.7","0.7","0","0","0","","","","","","","","","","0.142","0.142","0.142","0.056","0.056","0.056","0.03","0.03","0.03"
