"Step","TD3 high lr, shooting pre - drawrate","TD3 high lr, shooting pre - drawrate__MIN","TD3 high lr, shooting pre - drawrate__MAX","TD3 high lr - drawrate","TD3 high lr - drawrate__MIN","TD3 high lr - drawrate__MAX","TD3 high lr, shooting - drawrate","TD3 high lr, shooting - drawrate__MIN","TD3 high lr, shooting - drawrate__MAX","TD3 high lr, 4 rewards, shooting - drawrate","TD3 high lr, 4 rewards, shooting - drawrate__MIN","TD3 high lr, 4 rewards, shooting - drawrate__MAX","TD3 retrained def ->shooting 4 rewards - drawrate","TD3 retrained def ->shooting 4 rewards - drawrate__MIN","TD3 retrained def ->shooting 4 rewards - drawrate__MAX","TD3 pretrained def -> shooting - drawrate","TD3 pretrained def -> shooting - drawrate__MIN","TD3 pretrained def -> shooting - drawrate__MAX","TD3 defense - drawrate","TD3 defense - drawrate__MIN","TD3 defense - drawrate__MAX","TD3 big buffer continue - drawrate","TD3 big buffer continue - drawrate__MIN","TD3 big buffer continue - drawrate__MAX","TD3 big buffer 2nd try - drawrate","TD3 big buffer 2nd try - drawrate__MIN","TD3 big buffer 2nd try - drawrate__MAX","TD3 32 grad every epoch - drawrate","TD3 32 grad every epoch - drawrate__MIN","TD3 32 grad every epoch - drawrate__MAX"
"0","0.152","0.152","0.152","0.446","0.446","0.446","0.566","0.566","0.566","0.394","0.394","0.394","0.992","0.992","0.992","0.966","0.966","0.966","0.516","0.516","0.516","0.76","0.76","0.76","0.614","0.614","0.614","0.184","0.184","0.184"
"1","0.354","0.354","0.354","0.602","0.602","0.602","0.244","0.244","0.244","0.616","0.616","0.616","0.954","0.954","0.954","1","1","1","0.66","0.66","0.66","0.656","0.656","0.656","0.59","0.59","0.59","0.362","0.362","0.362"
"2","0.282","0.282","0.282","0.758","0.758","0.758","0.158","0.158","0.158","0.714","0.714","0.714","0.986","0.986","0.986","0.998","0.998","0.998","0.686","0.686","0.686","0.806","0.806","0.806","0.668","0.668","0.668","0.522","0.522","0.522"
"3","0.256","0.256","0.256","0.69","0.69","0.69","0.142","0.142","0.142","0.998","0.998","0.998","1","1","1","1","1","1","0.672","0.672","0.672","0.822","0.822","0.822","0.61","0.61","0.61","0.234","0.234","0.234"
"4","0.166","0.166","0.166","0.728","0.728","0.728","0.116","0.116","0.116","0.998","0.998","0.998","0.992","0.992","0.992","1","1","1","0.808","0.808","0.808","0.79","0.79","0.79","0.68","0.68","0.68","0.476","0.476","0.476"
"5","0.182","0.182","0.182","0.736","0.736","0.736","0.078","0.078","0.078","0.718","0.718","0.718","1","1","1","0.998","0.998","0.998","0.778","0.778","0.778","0.834","0.834","0.834","0.722","0.722","0.722","0.682","0.682","0.682"
"6","0.28","0.28","0.28","0.75","0.75","0.75","0.16","0.16","0.16","0.964","0.964","0.964","1","1","1","1","1","1","0.74","0.74","0.74","0.826","0.826","0.826","0.74","0.74","0.74","0.69","0.69","0.69"
"7","0.3","0.3","0.3","0.72","0.72","0.72","0.154","0.154","0.154","0.99","0.99","0.99","0.998","0.998","0.998","1","1","1","0.804","0.804","0.804","0.86","0.86","0.86","0.714","0.714","0.714","0.734","0.734","0.734"
"8","0.204","0.204","0.204","0.73","0.73","0.73","0.174","0.174","0.174","1","1","1","1","1","1","1","1","1","0.8","0.8","0.8","0.838","0.838","0.838","0.768","0.768","0.768","0.832","0.832","0.832"
"9","0.286","0.286","0.286","0.786","0.786","0.786","0.326","0.326","0.326","0.998","0.998","0.998","1","1","1","1","1","1","0.806","0.806","0.806","0.836","0.836","0.836","0.74","0.74","0.74","0.87","0.87","0.87"
"10","0.292","0.292","0.292","0.758","0.758","0.758","0.152","0.152","0.152","0.998","0.998","0.998","1","1","1","1","1","1","","","","0.882","0.882","0.882","0.8","0.8","0.8","0.838","0.838","0.838"
"11","0.316","0.316","0.316","0.842","0.842","0.842","0.154","0.154","0.154","0.694","0.694","0.694","0.998","0.998","0.998","1","1","1","","","","0.854","0.854","0.854","0.81","0.81","0.81","0.818","0.818","0.818"
"12","0.216","0.216","0.216","0.858","0.858","0.858","0.276","0.276","0.276","0.568","0.568","0.568","0.998","0.998","0.998","1","1","1","","","","0.866","0.866","0.866","0.836","0.836","0.836","0.782","0.782","0.782"
"13","0.216","0.216","0.216","0.906","0.906","0.906","0.606","0.606","0.606","0.626","0.626","0.626","0.994","0.994","0.994","1","1","1","","","","0.892","0.892","0.892","0.84","0.84","0.84","0.762","0.762","0.762"
"14","0.146","0.146","0.146","0.934","0.934","0.934","0.704","0.704","0.704","0.662","0.662","0.662","1","1","1","0.996","0.996","0.996","","","","0.87","0.87","0.87","0.858","0.858","0.858","0.796","0.796","0.796"
"15","0.14","0.14","0.14","0.932","0.932","0.932","0.626","0.626","0.626","0.96","0.96","0.96","1","1","1","1","1","1","","","","0.854","0.854","0.854","0.854","0.854","0.854","0.788","0.788","0.788"
"16","0.172","0.172","0.172","0.936","0.936","0.936","0.588","0.588","0.588","1","1","1","1","1","1","1","1","1","","","","0.82","0.82","0.82","0.89","0.89","0.89","0.788","0.788","0.788"
"17","0.166","0.166","0.166","0.908","0.908","0.908","0.552","0.552","0.552","1","1","1","1","1","1","1","1","1","","","","0.858","0.858","0.858","0.904","0.904","0.904","0.826","0.826","0.826"
"18","0.234","0.234","0.234","0.938","0.938","0.938","0.628","0.628","0.628","0.998","0.998","0.998","1","1","1","1","1","1","","","","0.852","0.852","0.852","0.902","0.902","0.902","0.862","0.862","0.862"
"19","0.226","0.226","0.226","0.918","0.918","0.918","0.654","0.654","0.654","1","1","1","1","1","1","1","1","1","","","","0.898","0.898","0.898","0.884","0.884","0.884","0.852","0.852","0.852"
"20","0.182","0.182","0.182","0.964","0.964","0.964","0.574","0.574","0.574","1","1","1","","","","","","","","","","0.9","0.9","0.9","0.934","0.934","0.934","0.814","0.814","0.814"
"21","0.19","0.19","0.19","0.908","0.908","0.908","0.556","0.556","0.556","0.97","0.97","0.97","","","","","","","","","","0.892","0.892","0.892","0.916","0.916","0.916","0.864","0.864","0.864"
"22","0.174","0.174","0.174","0.922","0.922","0.922","0.514","0.514","0.514","1","1","1","","","","","","","","","","0.906","0.906","0.906","0.946","0.946","0.946","0.822","0.822","0.822"
"23","0.16","0.16","0.16","0.946","0.946","0.946","0.532","0.532","0.532","1","1","1","","","","","","","","","","0.87","0.87","0.87","0.934","0.934","0.934","0.866","0.866","0.866"
"24","0.12","0.12","0.12","0.934","0.934","0.934","0.458","0.458","0.458","1","1","1","","","","","","","","","","0.862","0.862","0.862","0.918","0.918","0.918","0.918","0.918","0.918"
"25","0.13","0.13","0.13","0.938","0.938","0.938","0.546","0.546","0.546","1","1","1","","","","","","","","","","0.832","0.832","0.832","0.904","0.904","0.904","0.904","0.904","0.904"
"26","0.136","0.136","0.136","0.934","0.934","0.934","0.536","0.536","0.536","1","1","1","","","","","","","","","","0.908","0.908","0.908","0.91","0.91","0.91","0.934","0.934","0.934"
"27","0.146","0.146","0.146","0.934","0.934","0.934","0.608","0.608","0.608","1","1","1","","","","","","","","","","0.838","0.838","0.838","0.926","0.926","0.926","0.934","0.934","0.934"
"28","0.172","0.172","0.172","0.92","0.92","0.92","0.646","0.646","0.646","0.994","0.994","0.994","","","","","","","","","","0.898","0.898","0.898","0.952","0.952","0.952","0.902","0.902","0.902"
"29","0.164","0.164","0.164","0.92","0.92","0.92","0.65","0.65","0.65","0.998","0.998","0.998","","","","","","","","","","0.912","0.912","0.912","0.94","0.94","0.94","0.93","0.93","0.93"
"30","0.122","0.122","0.122","0.99","0.99","0.99","0.672","0.672","0.672","1","1","1","","","","","","","","","","0.924","0.924","0.924","0.944","0.944","0.944","0.926","0.926","0.926"
