"Step","TD3 high lr, shooting pre - lossrate","TD3 high lr, shooting pre - lossrate__MIN","TD3 high lr, shooting pre - lossrate__MAX","TD3 high lr - lossrate","TD3 high lr - lossrate__MIN","TD3 high lr - lossrate__MAX","TD3 high lr, shooting - lossrate","TD3 high lr, shooting - lossrate__MIN","TD3 high lr, shooting - lossrate__MAX","TD3 high lr, 4 rewards, shooting - lossrate","TD3 high lr, 4 rewards, shooting - lossrate__MIN","TD3 high lr, 4 rewards, shooting - lossrate__MAX","TD3 retrained def ->shooting 4 rewards - lossrate","TD3 retrained def ->shooting 4 rewards - lossrate__MIN","TD3 retrained def ->shooting 4 rewards - lossrate__MAX","TD3 pretrained def -> shooting - lossrate","TD3 pretrained def -> shooting - lossrate__MIN","TD3 pretrained def -> shooting - lossrate__MAX","TD3 defense - lossrate","TD3 defense - lossrate__MIN","TD3 defense - lossrate__MAX","TD3 big buffer continue - lossrate","TD3 big buffer continue - lossrate__MIN","TD3 big buffer continue - lossrate__MAX","TD3 big buffer 2nd try - lossrate","TD3 big buffer 2nd try - lossrate__MIN","TD3 big buffer 2nd try - lossrate__MAX","TD3 32 grad every epoch - lossrate","TD3 32 grad every epoch - lossrate__MIN","TD3 32 grad every epoch - lossrate__MAX"
"0","0.446","0.446","0.446","0.524","0.524","0.524","0.122","0.122","0.122","0.122","0.122","0.122","0.002","0.002","0.002","0","0","0","0.326","0.326","0.326","0.154","0.154","0.154","0.368","0.368","0.368","0.65","0.65","0.65"
"1","0.238","0.238","0.238","0.354","0.354","0.354","0.112","0.112","0.112","0.048","0.048","0.048","0.006","0.006","0.006","0","0","0","0.142","0.142","0.142","0.206","0.206","0.206","0.376","0.376","0.376","0.556","0.556","0.556"
"2","0.302","0.302","0.302","0.206","0.206","0.206","0.142","0.142","0.142","0.018","0.018","0.018","0","0","0","0","0","0","0.11","0.11","0.11","0.086","0.086","0.086","0.294","0.294","0.294","0.438","0.438","0.438"
"3","0.39","0.39","0.39","0.264","0.264","0.264","0.14","0.14","0.14","0","0","0","0","0","0","0","0","0","0.094","0.094","0.094","0.08","0.08","0.08","0.354","0.354","0.354","0.61","0.61","0.61"
"4","0.468","0.468","0.468","0.18","0.18","0.18","0.16","0.16","0.16","0","0","0","0.002","0.002","0.002","0","0","0","0.038","0.038","0.038","0.118","0.118","0.118","0.294","0.294","0.294","0.376","0.376","0.376"
"5","0.402","0.402","0.402","0.16","0.16","0.16","0.126","0.126","0.126","0.024","0.024","0.024","0","0","0","0","0","0","0.02","0.02","0.02","0.04","0.04","0.04","0.218","0.218","0.218","0.226","0.226","0.226"
"6","0.356","0.356","0.356","0.184","0.184","0.184","0.082","0.082","0.082","0","0","0","0","0","0","0","0","0","0.056","0.056","0.056","0.088","0.088","0.088","0.222","0.222","0.222","0.282","0.282","0.282"
"7","0.286","0.286","0.286","0.22","0.22","0.22","0.062","0.062","0.062","0.004","0.004","0.004","0","0","0","0","0","0","0.026","0.026","0.026","0.064","0.064","0.064","0.222","0.222","0.222","0.236","0.236","0.236"
"8","0.34","0.34","0.34","0.178","0.178","0.178","0.102","0.102","0.102","0","0","0","0","0","0","0","0","0","0.026","0.026","0.026","0.078","0.078","0.078","0.2","0.2","0.2","0.144","0.144","0.144"
"9","0.258","0.258","0.258","0.17","0.17","0.17","0.08","0.08","0.08","0","0","0","0","0","0","0","0","0","0.018","0.018","0.018","0.072","0.072","0.072","0.202","0.202","0.202","0.092","0.092","0.092"
