"Step","TD3 big buffer - lost_games","TD3 big buffer - lost_games__MIN","TD3 big buffer - lost_games__MAX","TD3 - lost_games","TD3 - lost_games__MIN","TD3 - lost_games__MAX","TD3, 4 rew, eval-train mode - lost_games","TD3, 4 rew, eval-train mode - lost_games__MIN","TD3, 4 rew, eval-train mode - lost_games__MAX","TD3 with 4 rewards - lost_games","TD3 with 4 rewards - lost_games__MIN","TD3 with 4 rewards - lost_games__MAX","TD3 (50/50 train_freq) continue - lost_games","TD3 (50/50 train_freq) continue - lost_games__MIN","TD3 (50/50 train_freq) continue - lost_games__MAX","TD3 (50/50 train_freq) - lost_games","TD3 (50/50 train_freq) - lost_games__MIN","TD3 (50/50 train_freq) - lost_games__MAX","TD3 (action targets clipped) - lost_games","TD3 (action targets clipped) - lost_games__MIN","TD3 (action targets clipped) - lost_games__MAX"
"0","282","282","282","218","218","218","398","398","398","425","425","425","28","28","28","329","329","329","453","453","453"
"1","211","211","211","115","115","115","240","240","240","221","221","221","65","65","65","221","221","221","311","311","311"
"2","143","143","143","97","97","97","229","229","229","117","117","117","30","30","30","270","270","270","225","225","225"
"3","110","110","110","90","90","90","106","106","106","152","152","152","8","8","8","94","94","94","101","101","101"
"4","119","119","119","51","51","51","135","135","135","41","41","41","39","39","39","202","202","202","62","62","62"
"5","105","105","105","78","78","78","87","87","87","26","26","26","432","432","432","140","140","140","53","53","53"
"6","84","84","84","42","42","42","67","67","67","30","30","30","61","61","61","56","56","56","18","18","18"
"7","70","70","70","77","77","77","52","52","52","70","70","70","64","64","64","58","58","58","39","39","39"
"8","57","57","57","58","58","58","39","39","39","68","68","68","12","12","12","83","83","83","50","50","50"
"9","52","52","52","18","18","18","29","29","29","74","74","74","11","11","11","52","52","52","118","118","118"
"10","35","35","35","34","34","34","","","","","","","20","20","20","","","","","",""
"11","62","62","62","17","17","17","","","","","","","18","18","18","","","","","",""
"12","50","50","50","95","95","95","","","","","","","22","22","22","","","","","",""
"13","50","50","50","45","45","45","","","","","","","70","70","70","","","","","",""
"14","35","35","35","41","41","41","","","","","","","32","32","32","","","","","",""
"15","28","28","28","64","64","64","","","","","","","16","16","16","","","","","",""
"16","39","39","39","24","24","24","","","","","","","17","17","17","","","","","",""
"17","58","58","58","16","16","16","","","","","","","7","7","7","","","","","",""
"18","30","30","30","17","17","17","","","","","","","10","10","10","","","","","",""
"19","44","44","44","59","59","59","","","","","","","12","12","12","","","","","",""
"20","","","","45","45","45","","","","","","","19","19","19","","","","","",""
"21","","","","28","28","28","","","","","","","10","10","10","","","","","",""
"22","","","","17","17","17","","","","","","","72","72","72","","","","","",""
"23","","","","38","38","38","","","","","","","48","48","48","","","","","",""
"24","","","","30","30","30","","","","","","","81","81","81","","","","","",""
"25","","","","14","14","14","","","","","","","248","248","248","","","","","",""
"26","","","","6","6","6","","","","","","","146","146","146","","","","","",""
"27","","","","30","30","30","","","","","","","51","51","51","","","","","",""
"28","","","","21","21","21","","","","","","","46","46","46","","","","","",""
"29","","","","38","38","38","","","","","","","49","49","49","","","","","",""
"30","","","","38","38","38","","","","","","","","","","","","","","",""
"31","","","","92","92","92","","","","","","","","","","","","","","",""
"32","","","","117","117","117","","","","","","","","","","","","","","",""
"33","","","","51","51","51","","","","","","","","","","","","","","",""
"34","","","","83","83","83","","","","","","","","","","","","","","",""
