"Step","TD3 big buffer lr scheduler - drawrate","TD3 big buffer lr scheduler - drawrate__MIN","TD3 big buffer lr scheduler - drawrate__MAX"
"50000","0.604","0.604","0.604"
"100001","0.58","0.58","0.58"
"150002","0.64","0.64","0.64"
"200003","0.652","0.652","0.652"
"250004","0.684","0.684","0.684"
"300005","0.714","0.714","0.714"
"350006","0.696","0.696","0.696"
"400007","0.736","0.736","0.736"
"450008","0.69","0.69","0.69"
"500009","0.698","0.698","0.698"
"550010","0.732","0.732","0.732"
"600011","0.746","0.746","0.746"
"650012","0.754","0.754","0.754"
"700013","0.738","0.738","0.738"
"750014","0.758","0.758","0.758"
"800015","0.722","0.722","0.722"
"850016","0.808","0.808","0.808"
"900017","0.782","0.782","0.782"
"950018","0.754","0.754","0.754"
"1000019","0.762","0.762","0.762"
"1050020","0.766","0.766","0.766"
"1100021","0.766","0.766","0.766"
"1150022","0.762","0.762","0.762"
"1200023","0.758","0.758","0.758"
"1250024","0.756","0.756","0.756"
"1300025","0.786","0.786","0.786"
"1350026","0.782","0.782","0.782"
"1400027","0.788","0.788","0.788"
"1450028","0.774","0.774","0.774"
"1500029","0.754","0.754","0.754"
"1550030","0.786","0.786","0.786"
"1600031","0.786","0.786","0.786"
"1650032","0.756","0.756","0.756"
"1700033","0.778","0.778","0.778"
"1750034","0.786","0.786","0.786"
"1800035","0.758","0.758","0.758"
"1850036","0.786","0.786","0.786"
"1900037","0.762","0.762","0.762"
"1950038","0.74","0.74","0.74"
"2000039","0.772","0.772","0.772"
