"Step","TD3 big buffer lr scheduler - lossrate","TD3 big buffer lr scheduler - lossrate__MIN","TD3 big buffer lr scheduler - lossrate__MAX"
"50000","0.33","0.33","0.33"
"100001","0.362","0.362","0.362"
"150002","0.334","0.334","0.334"
"200003","0.318","0.318","0.318"
"250004","0.264","0.264","0.264"
"300005","0.244","0.244","0.244"
"350006","0.282","0.282","0.282"
"400007","0.216","0.216","0.216"
"450008","0.274","0.274","0.274"
"500009","0.258","0.258","0.258"
"550010","0.228","0.228","0.228"
"600011","0.208","0.208","0.208"
"650012","0.206","0.206","0.206"
"700013","0.212","0.212","0.212"
"750014","0.208","0.208","0.208"
"800015","0.232","0.232","0.232"
"850016","0.152","0.152","0.152"
"900017","0.184","0.184","0.184"
"950018","0.18","0.18","0.18"
"1000019","0.196","0.196","0.196"
"1050020","0.176","0.176","0.176"
"1100021","0.18","0.18","0.18"
"1150022","0.192","0.192","0.192"
"1200023","0.19","0.19","0.19"
"1250024","0.194","0.194","0.194"
"1300025","0.174","0.174","0.174"
"1350026","0.168","0.168","0.168"
"1400027","0.168","0.168","0.168"
"1450028","0.18","0.18","0.18"
"1500029","0.194","0.194","0.194"
"1550030","0.168","0.168","0.168"
"1600031","0.158","0.158","0.158"
"1650032","0.188","0.188","0.188"
"1700033","0.184","0.184","0.184"
"1750034","0.166","0.166","0.166"
"1800035","0.18","0.18","0.18"
"1850036","0.168","0.168","0.168"
"1900037","0.186","0.186","0.186"
"1950038","0.202","0.202","0.202"
"2000039","0.178","0.178","0.178"
