"step","TD3 high lr, shooting pre - _step","TD3 high lr, shooting pre - _step__MIN","TD3 high lr, shooting pre - _step__MAX","TD3 high lr, shooting pre - winrate","TD3 high lr, shooting pre - winrate__MIN","TD3 high lr, shooting pre - winrate__MAX","TD3 high lr - _step","TD3 high lr - _step__MIN","TD3 high lr - _step__MAX","TD3 high lr - winrate","TD3 high lr - winrate__MIN","TD3 high lr - winrate__MAX","TD3 high lr, shooting - _step","TD3 high lr, shooting - _step__MIN","TD3 high lr, shooting - _step__MAX","TD3 high lr, shooting - winrate","TD3 high lr, shooting - winrate__MIN","TD3 high lr, shooting - winrate__MAX","TD3 high lr, 4 rewards, shooting - _step","TD3 high lr, 4 rewards, shooting - _step__MIN","TD3 high lr, 4 rewards, shooting - _step__MAX","TD3 high lr, 4 rewards, shooting - winrate","TD3 high lr, 4 rewards, shooting - winrate__MIN","TD3 high lr, 4 rewards, shooting - winrate__MAX","TD3 retrained def ->shooting 4 rewards - _step","TD3 retrained def ->shooting 4 rewards - _step__MIN","TD3 retrained def ->shooting 4 rewards - _step__MAX","TD3 retrained def ->shooting 4 rewards - winrate","TD3 retrained def ->shooting 4 rewards - winrate__MIN","TD3 retrained def ->shooting 4 rewards - winrate__MAX","TD3 pretrained def -> shooting - _step","TD3 pretrained def -> shooting - _step__MIN","TD3 pretrained def -> shooting - _step__MAX","TD3 pretrained def -> shooting - winrate","TD3 pretrained def -> shooting - winrate__MIN","TD3 pretrained def -> shooting - winrate__MAX","TD3 defense - _step","TD3 defense - _step__MIN","TD3 defense - _step__MAX","TD3 defense - winrate","TD3 defense - winrate__MIN","TD3 defense - winrate__MAX","TD3 big buffer continue - _step","TD3 big buffer continue - _step__MIN","TD3 big buffer continue - _step__MAX","TD3 big buffer continue - winrate","TD3 big buffer continue - winrate__MIN","TD3 big buffer continue - winrate__MAX","TD3 big buffer 2nd try - _step","TD3 big buffer 2nd try - _step__MIN","TD3 big buffer 2nd try - _step__MAX","TD3 big buffer 2nd try - winrate","TD3 big buffer 2nd try - winrate__MIN","TD3 big buffer 2nd try - winrate__MAX","TD3 32 grad every epoch - _step","TD3 32 grad every epoch - _step__MIN","TD3 32 grad every epoch - _step__MAX","TD3 32 grad every epoch - winrate","TD3 32 grad every epoch - winrate__MIN","TD3 32 grad every epoch - winrate__MAX"
"50000","","","","","","","0","0","0","0.03","0.03","0.03","0","0","0","0.312","0.312","0.312","0","0","0","0.484","0.484","0.484","","","","","","","","","","","","","0","0","0","0.158","0.158","0.158","","","","","","","0","0","0","0.018","0.018","0.018","0","0","0","0.166","0.166","0.166"
"100000","","","","","","","1","1","1","0.044","0.044","0.044","1","1","1","0.644","0.644","0.644","1","1","1","0.336","0.336","0.336","","","","","","","","","","","","","1","1","1","0.198","0.198","0.198","","","","","","","1","1","1","0.034","0.034","0.034","1","1","1","0.082","0.082","0.082"
"150000","","","","","","","2","2","2","0.036","0.036","0.036","2","2","2","0.7","0.7","0.7","2","2","2","0.268","0.268","0.268","","","","","","","","","","","","","2","2","2","0.204","0.204","0.204","","","","","","","2","2","2","0.038","0.038","0.038","2","2","2","0.04","0.04","0.04"
"200000","","","","","","","3","3","3","0.046","0.046","0.046","3","3","3","0.718","0.718","0.718","3","3","3","0.002","0.002","0.002","","","","","","","","","","","","","3","3","3","0.234","0.234","0.234","","","","","","","3","3","3","0.036","0.036","0.036","3","3","3","0.156","0.156","0.156"
"250000","","","","","","","4","4","4","0.092","0.092","0.092","4","4","4","0.724","0.724","0.724","4","4","4","0.002","0.002","0.002","","","","","","","","","","","","","4","4","4","0.154","0.154","0.154","","","","","","","4","4","4","0.026","0.026","0.026","4","4","4","0.148","0.148","0.148"
"300000","0","0","0","0.402","0.402","0.402","5","5","5","0.104","0.104","0.104","5","5","5","0.796","0.796","0.796","5","5","5","0.258","0.258","0.258","","","","","","","","","","","","","5","5","5","0.202","0.202","0.202","","","","","","","5","5","5","0.06","0.06","0.06","5","5","5","0.092","0.092","0.092"
"350000","1","1","1","0.408","0.408","0.408","6","6","6","0.066","0.066","0.066","6","6","6","0.758","0.758","0.758","6","6","6","0.036","0.036","0.036","","","","","","","","","","","","","6","6","6","0.204","0.204","0.204","","","","","","","6","6","6","0.038","0.038","0.038","6","6","6","0.028","0.028","0.028"
"400000","2","2","2","0.416","0.416","0.416","7","7","7","0.06","0.06","0.06","7","7","7","0.784","0.784","0.784","7","7","7","0.006","0.006","0.006","","","","","","","","","","","","","7","7","7","0.17","0.17","0.17","","","","","","","7","7","7","0.064","0.064","0.064","7","7","7","0.03","0.03","0.03"
"450000","3","3","3","0.354","0.354","0.354","8","8","8","0.092","0.092","0.092","8","8","8","0.724","0.724","0.724","8","8","8","0","0","0","","","","","","","","","","","","","8","8","8","0.174","0.174","0.174","","","","","","","8","8","8","0.032","0.032","0.032","8","8","8","0.024","0.024","0.024"
"500000","4","4","4","0.366","0.366","0.366","9","9","9","0.044","0.044","0.044","9","9","9","0.594","0.594","0.594","9","9","9","0.002","0.002","0.002","","","","","","","","","","","","","9","9","9","0.176","0.176","0.176","","","","","","","9","9","9","0.058","0.058","0.058","9","9","9","0.038","0.038","0.038"
