"Step","TD3 big buffer - won_games","TD3 big buffer - won_games__MIN","TD3 big buffer - won_games__MAX","TD3 big buffer - lost_games","TD3 big buffer - lost_games__MIN","TD3 big buffer - lost_games__MAX","TD3 - won_games","TD3 - won_games__MIN","TD3 - won_games__MAX","TD3 - lost_games","TD3 - lost_games__MIN","TD3 - lost_games__MAX","TD3, 4 rew, eval-train mode - won_games","TD3, 4 rew, eval-train mode - won_games__MIN","TD3, 4 rew, eval-train mode - won_games__MAX","TD3, 4 rew, eval-train mode - lost_games","TD3, 4 rew, eval-train mode - lost_games__MIN","TD3, 4 rew, eval-train mode - lost_games__MAX","TD3 with 4 rewards - won_games","TD3 with 4 rewards - won_games__MIN","TD3 with 4 rewards - won_games__MAX","TD3 with 4 rewards - lost_games","TD3 with 4 rewards - lost_games__MIN","TD3 with 4 rewards - lost_games__MAX","TD3 (50/50 train_freq) continue - won_games","TD3 (50/50 train_freq) continue - won_games__MIN","TD3 (50/50 train_freq) continue - won_games__MAX","TD3 (50/50 train_freq) continue - lost_games","TD3 (50/50 train_freq) continue - lost_games__MIN","TD3 (50/50 train_freq) continue - lost_games__MAX","TD3 (50/50 train_freq) - won_games","TD3 (50/50 train_freq) - won_games__MIN","TD3 (50/50 train_freq) - won_games__MAX","TD3 (50/50 train_freq) - lost_games","TD3 (50/50 train_freq) - lost_games__MIN","TD3 (50/50 train_freq) - lost_games__MAX","TD3 (action targets clipped) - won_games","TD3 (action targets clipped) - won_games__MIN","TD3 (action targets clipped) - won_games__MAX","TD3 (action targets clipped) - lost_games","TD3 (action targets clipped) - lost_games__MIN","TD3 (action targets clipped) - lost_games__MAX"
"0","58","58","58","282","282","282","28","28","28","218","218","218","165","165","165","398","398","398","45","45","45","425","425","425","65","65","65","28","28","28","43","43","43","329","329","329","82","82","82","453","453","453"
"1","54","54","54","211","211","211","57","57","57","115","115","115","72","72","72","240","240","240","66","66","66","221","221","221","52","52","52","65","65","65","46","46","46","221","221","221","54","54","54","311","311","311"
"2","34","34","34","143","143","143","59","59","59","97","97","97","91","91","91","229","229","229","108","108","108","117","117","117","36","36","36","30","30","30","36","36","36","270","270","270","34","34","34","225","225","225"
"3","58","58","58","110","110","110","30","30","30","90","90","90","108","108","108","106","106","106","92","92","92","152","152","152","22","22","22","8","8","8","74","74","74","94","94","94","81","81","81","101","101","101"
"4","43","43","43","119","119","119","23","23","23","51","51","51","103","103","103","135","135","135","92","92","92","41","41","41","27","27","27","39","39","39","50","50","50","202","202","202","60","60","60","62","62","62"
"5","63","63","63","105","105","105","28","28","28","78","78","78","68","68","68","87","87","87","95","95","95","26","26","26","73","73","73","432","432","432","77","77","77","140","140","140","32","32","32","53","53","53"
"6","74","74","74","84","84","84","52","52","52","42","42","42","121","121","121","67","67","67","109","109","109","30","30","30","54","54","54","61","61","61","69","69","69","56","56","56","79","79","79","18","18","18"
"7","73","73","73","70","70","70","22","22","22","77","77","77","178","178","178","52","52","52","93","93","93","70","70","70","67","67","67","64","64","64","59","59","59","58","58","58","77","77","77","39","39","39"
"8","56","56","56","57","57","57","18","18","18","58","58","58","134","134","134","39","39","39","114","114","114","68","68","68","27","27","27","12","12","12","42","42","42","83","83","83","78","78","78","50","50","50"
"9","91","91","91","52","52","52","21","21","21","18","18","18","92","92","92","29","29","29","113","113","113","74","74","74","41","41","41","11","11","11","53","53","53","52","52","52","73","73","73","118","118","118"
